tract,distance_to_city_center
1001020100,14.48639
1001020200,13.577132
1001020300,12.906942
1001020400,12.091412
1001020500,10.527886
1001020600,12.758913
1001020700,10.159186
1001020801,14.903761
1001020802,19.353283
1001020900,23.352956
1001021000,31.925951
1001021100,26.832002
1003010100,33.424405
1003010200,31.075218
1003010300,17.110873
1003010400,30.571837
1003010500,24.451369
1003010701,11.108444
1003010703,18.503449
1003010704,16.27501
1003010705,11.995923
1003010800,17.098226
1003010903,23.09763
1003010904,23.389776
1003010905,26.64711
1003010906,29.300361
1003011000,27.910902
1003011101,23.19715
1003011102,25.15777
1003011201,19.828015
1003011202,20.80287
1003011300,26.104963
1003011401,32.802947
1003011403,27.782486
1003011405,20.700686
1003011406,27.506061
1003011407,34.52857
1003011408,36.565964
1003011501,27.722882
1003011502,26.919322
1003011601,20.412707
1003011602,14.481339
1005950100,32.718902
1005950500,37.738423
1005950700,38.733858
1005950800,38.427274
1005950900,42.912212
1007010001,25.163849
1007010002,27.967152
1007010003,37.664298
1007010004,24.905986
1009050101,31.732388
1009050102,28.989854
1009050200,31.980461
1009050300,22.02847
1009050400,27.60245
1009050500,36.432473
1009050601,24.823092
1009050602,26.735988
1009050700,24.487217
1013952700,36.930382
1013952800,41.420708
1013952900,42.242226
1013953200,42.373197
1015000200,2.0467059
1015000700,4.7532362
1015000900,1.8743752
1015001000,2.2562367
1015001100,4.3332243
1015001201,2.7564084
1015001202,3.8408244
1015001400,4.2858611
1015001500,5.977659
1015001600,4.2554697
1015001700,5.7428015
1015001800,8.6603834
1015002000,10.551241
1015002102,14.108967
1015002103,11.158106
1015002200,21.688952
1015002300,22.074504
1015002400,16.100597
1015002501,10.441584
1015002502,17.289007
1015002600,14.783972
1017953800,29.189956
1017953900,23.209604
1017954000,17.606439
1017954200,18.751905
1017954300,15.436582
1017954500,22.225324
1017954600,22.483842
1017954700,19.521557
1019955701,21.439011
1019955702,24.511569
1019955800,15.51281
1019955900,20.574957
1019956000,20.686898
1019956100,24.59952
1021060101,37.682284
1021060102,41.37131
1021060200,37.702465
1021060300,39.577524
1021060401,41.213655
1021060402,36.385664
1021060500,45.436371
1021060600,38.787295
1021060700,30.921261
1023956800,80.965653
1025957602,85.59612
1025957800,66.39711
1025957901,63.399299
1025957902,55.354382
1029959600,15.071657
1029959700,12.159874
1029959800,25.215964
1031010300,30.871542
1031010500,46.729282
1031010800,27.628947
1031011000,29.827893
1031011100,27.635569
1031011201,27.414983
1031011202,25.176006
1031011300,25.557321
1033020100,2.0851927
1033020200,2.9960296
1033020400,4.5830275
1033020500,6.4744203
1033020600,5.3287084
1033020701,5.2460296
1033020703,3.4859691
1033020704,3.4970611
1033020801,8.901102
1033020802,11.474793
1033020901,12.660849
1033020902,12.68803
1033021000,20.627139
1039961600,47.331806
1039961900,34.660615
1039962000,39.93025
1039962300,35.203809
1039962400,45.195647
1041963700,44.103943
1043964100,32.325532
1043964200,29.588687
1043964300,24.899522
1043964400,23.693313
1043964500,27.613164
1043964600,31.182882
1043964700,31.740332
1043964800,30.012285
1043964900,29.683077
1043965000,32.665946
1043965100,35.663672
1043965200,35.793357
1043965300,35.572645
1043965401,38.350423
1043965402,33.223548
1043965500,34.456558
1043965600,38.264652
1043965700,30.190139
1045020100,27.202538
1045020400,23.317315
1045020802,19.266879
1045021101,22.641475
1045021102,18.817529
1045021300,11.643865
1047956100,39.025329
1047956202,45.78946
1047956600,43.612015
1047956701,46.080996
1049960100,28.821534
1049960200,36.933648
1049960300,28.01631
1049960400,27.621326
1049960500,20.009324
1049960600,14.172077
1049960700,7.6355832
1049960900,19.084753
1049961000,23.685293
1049961100,26.539315
1049961200,30.671763
1049961300,30.237637
1049961400,33.493929
1051030100,19.630361
1051030200,23.327935
1051030300,30.187262
1051030400,20.558456
1051030500,23.719075
1051030600,18.356717
1051030701,11.364223
1051030702,12.753258
1051030800,13.950344
1051030901,14.145517
1051030902,13.456461
1051031000,11.246738
1051031100,11.178448
1051031300,7.4087999
1053969800,29.237347
1053969900,41.717336
1053970100,39.965831
1053970500,44.8124
1053970700,42.715208
1055000400,6.9560946
1055001100,13.173193
1055001200,10.365812
1055001600,11.86843
1055010200,11.309958
1055010300,11.830796
1055010401,12.734185
1055010402,15.869484
1055010501,17.245021
1055010502,16.735718
1055010601,14.269008
1055010602,15.071415
1055010700,8.3812502
1055010800,4.7981125
1055011001,3.6535789
1055011002,8.8149558
1055011100,15.32839
1057020100,46.941866
1057020200,38.609213
1059972900,18.982587
1059973000,17.81727
1059973200,20.791219
