tract,metro
1001020100,33860
1001020200,33860
1001020300,33860
1001020400,33860
1001020500,33860
1001020600,33860
1001020700,33860
1001020801,33860
1001020802,33860
1001020900,13820
1001020900,33860
1001021000,13820
1001021000,33860
1001021000,42820
1001021100,13820
1001021100,33860
1001021100,42820
1003010100,12120
1003010100,19300
1003010200,12120
1003010200,19300
1003010300,19300
1003010400,19300
1003010500,19300
1003010600,19300
1003010701,19300
1003010703,19300
1003010704,19300
1003010705,19300
1003010800,19300
1003010903,19300
1003010904,19300
1003010905,19300
1003010906,19300
1003011000,19300
1003011101,19300
1003011102,19300
1003011201,19300
1003011202,19300
1003011300,19300
1003011401,19300
1003011403,19300
1003011405,19300
1003011406,19300
1003011407,19300
1003011408,19300
1003011501,19300
1003011502,19300
1003011601,19300
1003011602,19300
1005950100,17980
1005950100,21640
1005950200,17980
1005950200,21640
1005950300,21640
1005950400,20020
1005950400,21460
1005950400,21640
1005950400,37120
1005950500,17980
1005950500,20020
1005950500,21640
1005950500,37120
1005950600,17980
1005950600,21640
1005950700,17980
1005950700,21640
1005950800,17980
1005950800,21640
1005950900,17980
1005950900,21640
1007010001,13820
1007010001,46220
1007010002,13820
1007010002,46220
1007010003,13820
1007010004,13820
1007010004,46220
1009050101,13820
1009050101,23460
1009050102,10700
1009050102,13820
1009050102,23460
1009050200,10700
1009050200,13820
1009050200,23460
1009050300,10700
1009050300,13820
1009050300,22840
1009050300,23460
1009050400,10700
1009050400,13820
1009050400,18980
1009050400,19460
1009050500,10700
1009050500,13820
1009050601,13820
1009050602,13820
1009050700,13820
1009050700,23460
1011952100,17980
1011952100,21640
1011952100,45980
1011952200,12220
1011952200,17980
1011952200,21640
1011952200,33860
1011952500,33860
1011952500,45980
1013952700,33860
1013953200,33860
1015000200,11500
1015000300,11500
1015000400,11500
1015000500,11500
1015000600,11500
1015000700,11500
1015000800,11500
1015000800,45180
1015000900,11500
1015001000,11500
1015001000,45180
1015001100,11500
1015001100,45180
1015001201,11500
1015001201,45180
1015001202,11500
1015001202,45180
1015001300,11500
1015001300,45180
1015001400,11500
1015001500,11500
1015001500,45180
1015001600,11500
1015001700,11500
1015001800,11500
1015002000,11500
1015002000,23460
1015002101,11500
1015002102,11500
1015002103,11500
1015002200,11500
1015002200,23460
1015002300,11500
1015002300,23460
1015002300,45180
1015002400,11500
1015002400,23460
1015002501,11500
1015002501,23460
1015002502,11500
1015002502,23460
1015002600,11500
1015002600,23460
1015002600,45180
1015981901,11500
1015981901,45180
1015981902,11500
1015981903,11500
1017953800,10760
1017953800,12220
1017953800,46740
1017953900,46740
1017954000,10760
1017954000,12220
1017954000,46740
1017954200,46740
1017954300,12220
1017954300,46740
1017954400,12220
1017954400,46740
1017954500,46740
1017954600,12220
1017954600,46740
1017954700,12220
1017954700,46740
1019955701,22840
1019955702,22840
1019955800,22840
1019955800,23460
1019955900,11500
1019955900,13820
1019955900,22840
1019955900,23460
1019956100,11500
1019956100,23460
1021060101,13820
1021060101,45180
1021060102,13820
1021060200,13820
1021060200,45180
1021060300,13820
1021060300,45180
1021060401,13820
1021060402,13820
1021060500,13820
1021060500,33860
1021060500,42820
1021060600,13820
1021060600,33860
1021060700,13820
1021060700,33860
1021060700,45180
1027958900,10760
1027958900,45180
1027959000,10760
1027959000,45180
1027959100,10760
1027959100,46740
1027959200,10760
1027959200,45180
1029959500,11500
1029959500,23460
1029959600,11500
1029959700,45180
1031010100,21460
1031010100,45980
1031010200,21460
1031010200,37120
1031010200,45980
1031010300,21460
1031010300,21640
1031010300,37120
1031010300,45980
1031010400,21460
1031010500,20020
1031010500,21460
1031010600,20020
1031010600,21460
1031010700,20020
1031010700,21460
1031010700,37120
1031010800,20020
1031010800,21460
1031010800,37120
1031010900,21460
1031010900,37120
1031011000,21460
1031011000,37120
1031011100,21460
1031011100,37120
1031011201,21460
1031011201,37120
1031011202,21460
1031011202,37120
1031011300,21460
1031011300,37120
1033020100,22520
1033020200,22520
1033020300,22520
1033020400,22520
1033020500,22520
1033020600,22520
1033020701,22520
1033020703,22520
1033020704,22520
1033020801,19460
1033020801,22520
1033020802,19460
1033020802,22520
1033020901,19460
1033020901,22520
1033020902,22520
1033021000,22520
1035960200,12120
1035960200,21460
1035960200,37120
1035960300,12120
1035960300,19300
1035960400,12120
1035960600,12120
1037961000,10760
1037961000,33860
1037961000,45180
1037961100,10760
1037961100,13820
1037961100,33860
1037961100,45180
1037961200,10760
1037961200,33860
1037961200,45180
1039961600,20020
1039961600,21460
1039961700,12120
1039961800,12120
1039961900,12120
1039962000,12120
1039962100,12120
1039962300,12120
1039962300,20020
1039962300,21460
1039962400,20020
1039962400,21460
1039962500,20020
1039962500,21460
1039962600,20020
1039962600,21460
1039962700,20020
1039962700,21460
1039962800,12120
1039962800,20020
1039962800,21460
1039962900,12120
1039962900,20020
1039963000,20020
1039963000,21460
1041963400,33860
1041963400,45980
1041963500,33860
1041963500,45980
1041963600,21460
1041963600,33860
1041963600,45980
1041963700,21460
1041963700,45980
1041963800,21460
1041963800,45980
1041963900,20020
1041963900,21460
1041963900,45980
1043964100,10700
1043964100,13820
1043964100,18980
1043964100,19460
1043964200,18980
1043964200,19460
1043964300,18980
1043964300,19460
1043964400,18980
1043964400,19460
1043964500,18980
1043964500,19460
1043964600,18980
1043964600,19460
1043964700,18980
1043964700,19460
1043964800,18980
1043964800,19460
1043964900,18980
1043964900,19460
1043965000,18980
1043965100,18980
1043965200,18980
1043965300,18980
1043965300,19460
1043965401,18980
1043965402,18980
1043965500,13820
1043965500,18980
1043965600,18980
1043965700,13820
1043965700,18980
1045020000,20020
1045020000,21460
1045020000,37120
1045020100,21460
1045020100,21640
1045020100,37120
1045020100,45980
1045020200,20020
1045020200,21460
1045020200,21640
1045020200,37120
1045020300,20020
1045020300,21460
1045020300,37120
1045020400,21460
1045020400,37120
1045020500,21460
1045020500,37120
1045020700,21460
1045020700,37120
1045020801,21460
1045020801,37120
1045020802,21460
1045020802,37120
1045021101,20020
1045021101,21460
1045021101,37120
1045021102,20020
1045021102,21460
1045021102,37120
1045021200,20020
1045021200,21460
1045021200,37120
1045021300,20020
1045021300,21460
1045021300,37120
1045021400,20020
1045021400,37120
1047956100,13820
1047956100,33860
1047956100,42820
1047956201,33860
1047956201,42820
1047956202,13820
1047956202,33860
1047956202,42820
1047956300,33860
1047956300,42820
1047956400,33860
1047956400,42820
1047956500,33860
1047956500,42820
1047956600,33860
1047956600,42820
1047956701,33860
1047956701,42820
1047956702,33860
1047956702,42820
1047956800,33860
1047956800,42820
1047956900,42820
1047957000,33860
1047957000,42820
1047957100,33860
1047957100,42820
1047957200,33860
1047957200,42820
1047957300,33860
1047957300,42820
1049960100,22840
1049960100,42460
1049960200,22840
1049960200,42460
1049960300,22840
1049960300,42460
1049960400,22840
1049960400,23460
1049960400,42460
1049960500,10700
1049960500,22840
1049960500,23460
1049960500,42460
1049960600,10700
1049960600,22840
1049960600,23460
1049960700,10700
1049960700,13820
1049960700,22840
1049960700,23460
1049960800,10700
1049960800,22840
1049960800,23460
1049960900,22840
1049960900,23460
1049961000,22840
1049961000,23460
1049961100,22840
1049961200,22840
1049961300,22840
1049961400,22840
1051030100,13820
1051030100,33860
1051030200,33860
1051030200,45180
1051030300,10760
1051030300,33860
1051030300,45180
1051030400,10760
1051030400,33860
1051030500,10760
1051030500,33860
1051030600,33860
1051030600,45180
1051030701,33860
1051030702,33860
1051030800,33860
1051030901,33860
1051030902,33860
1051031000,33860
1051031100,33860
1051031200,33860
1051031300,33860
1053969800,12120
1053969900,12120
1053970100,12120
1053970200,12120
1053970300,12120
1053970300,19300
1053970400,12120
1053970400,19300
1053970500,12120
1053970500,19300
1053970600,12120
1053970600,19300
1053970700,12120
1053970700,19300
1055000200,23460
1055000300,23460
1055000400,22840
1055000400,23460
1055000500,23460
1055000600,23460
1055000700,23460
1055000800,23460
1055000900,23460
1055001000,23460
1055001100,13820
1055001100,23460
1055001200,13820
1055001200,23460
1055001300,13820
1055001300,23460
1055001600,13820
1055001600,23460
1055001700,11500
1055001700,13820
1055001700,23460
1055010100,22840
1055010100,23460
1055010200,22840
1055010200,23460
1055010300,13820
1055010300,22840
1055010300,23460
1055010401,13820
1055010401,23460
1055010402,11500
1055010402,13820
1055010402,22840
1055010402,23460
1055010501,11500
1055010501,13820
1055010501,23460
1055010502,11500
1055010502,13820
1055010502,23460
1055010601,11500
1055010601,13820
1055010601,23460
1055010602,11500
1055010602,13820
1055010602,23460
1055010700,23460
1055010800,22840
1055010800,23460
1055010900,22840
1055010900,23460
1055011001,10700
1055011001,13820
1055011001,22840
1055011001,23460
1055011002,10700
1055011002,13820
1055011002,22840
1055011002,23460
1055011100,10700
1055011100,13820
1055011100,22840
1055011100,23460
1055011200,13820
1055011200,23460
1057020000,13820
1057020000,46220
1057020100,13820
1057020100,46220
1057020200,46220
1057020300,46220
1057020400,13820
1057020400,46220
1059972900,19460
1059972900,22520
1059973000,19460
1059973000,22520
1059973100,19460
1059973100,22520
1059973200,22520
1059973300,19460
1059973300,22520
1059973400,19460
1059973400,22520
1059973500,22520
1059973600,22520
1059973700,19460
1059973700,22520
1061050100,20020
1061050100,21460
1061050200,20020
1061050200,21460
1061050200,37120
1061050300,20020
1061050300,21460
1061050400,20020
1061050500,20020
1061050500,37120
1061050600,20020
1063060000,46220
1063060100,46220
1065040000,46220
1065040100,46220
1065040200,13820
1065040200,46220
1065040300,46220
1065040400,46220
1065040500,46220
1067030100,20020
1067030100,21640
1067030100,37120
1067030200,20020
1067030200,21640
1067030200,37120
1067030300,20020
1067030400,20020
1067030400,37120
1067030500,20020
1067030500,37120
1067030600,20020
1067030600,37120
1069040100,20020
1069040100,37120
1069040201,20020
1069040201,37120
1069040202,20020
1069040202,37120
1069040301,20020
1069040301,37120
1069040302,20020
1069040302,37120
1069040400,20020
1069040400,37120
1069040500,20020
1069040600,20020
1069040600,37120
1069040700,20020
1069040800,20020
1069040900,20020
1069041000,20020
1069041100,20020
1069041200,20020
1069041400,20020
1069041400,37120
1069041500,20020
1069041500,37120
1069041600,20020
1069041600,37120
1069041700,20020
1069041800,20020
1069041900,20020
1069041900,37120
1069042000,20020
1069042100,20020
1069042100,37120
1071950100,22840
1071950100,42460
1071950200,42460
1071950300,42460
1071950400,10700
1071950400,26620
1071950400,42460
1071950500,10700
1071950500,26620
1071950500,42460
1071950600,10700
1071950600,26620
1071950600,42460
1071950700,10700
1071950700,26620
1071950700,42460
1071950800,42460
1071950900,10700
1071950900,42460
1071951000,22840
1071951000,42460
1071951100,10700
1071951100,22840
1071951100,42460
1073000100,13820
1073000300,13820
1073000400,13820
1073000500,13820
1073000700,13820
1073000800,13820
1073001100,13820
1073001200,13820
1073001400,13820
1073001500,13820
1073001600,13820
1073001902,13820
1073002000,13820
1073002100,13820
1073002200,13820
1073002303,13820
1073002305,13820
1073002306,13820
1073002400,13820
1073002700,13820
1073002900,13820
1073003001,13820
1073003002,13820
1073003100,13820
1073003200,13820
1073003300,13820
1073003400,13820
1073003500,13820
1073003600,13820
1073003700,13820
1073003802,13820
1073003803,13820
1073003900,13820
1073004000,13820
1073004200,13820
1073004500,13820
1073004701,13820
1073004702,13820
1073004800,13820
1073004901,13820
1073004902,13820
1073005000,13820
1073005101,13820
1073005103,13820
1073005104,13820
1073005200,13820
1073005302,13820
1073005500,13820
1073005600,13820
1073005701,13820
1073005702,13820
1073005800,13820
1073005903,13820
1073005905,13820
1073005907,13820
1073005908,13820
1073005909,13820
1073005910,13820
1073010001,13820
1073010002,13820
1073010100,13820
1073010200,13820
1073010301,13820
1073010302,13820
1073010401,13820
1073010402,13820
1073010500,13820
1073010602,13820
1073010603,13820
1073010701,13820
1073010702,13820
1073010703,13820
1073010704,13820
1073010705,13820
1073010706,13820
1073010801,13820
1073010802,13820
1073010803,13820
1073010804,13820
1073010805,13820
1073010900,13820
1073011001,13820
1073011002,13820
1073011104,13820
1073011107,13820
1073011108,13820
1073011109,13820
1073011110,13820
1073011111,13820
1073011205,13820
1073011206,13820
1073011207,13820
1073011208,13820
1073011209,13820
1073011210,13820
1073011301,13820
1073011302,13820
1073011400,13820
1073011500,13820
1073011600,13820
1073011703,13820
1073011704,13820
1073011705,13820
1073011706,13820
1073011802,13820
1073011803,13820
1073011804,13820
1073011901,13820
1073011904,13820
1073012001,13820
1073012002,13820
1073012103,13820
1073012104,13820
1073012200,13820
1073012302,13820
1073012304,13820
1073012305,13820
1073012401,13820
1073012402,13820
1073012403,13820
1073012500,13820
1073012602,13820
1073012701,13820
1073012703,13820
1073012704,13820
1073012802,13820
1073012803,13820
1073012905,13820
1073012906,13820
1073012907,13820
1073012908,13820
1073012910,13820
1073012911,13820
1073012912,13820
1073012913,13820
1073012914,13820
1073012915,13820
1073013002,13820
1073013100,13820
1073013200,13820
1073013300,13820
1073013400,13820
1073013601,13820
1073013801,13820
1073013901,13820
1073013902,13820
1073014001,13820
1073014002,13820
1073014102,13820
1073014102,46220
1073014104,13820
1073014104,46220
1073014105,13820
1073014105,46220
1073014203,13820
1073014203,46220
1073014204,13820
1073014301,13820
1073014302,13820
1073014404,13820
1073014405,13820
1073014406,13820
1073014408,13820
1073014409,13820
1073014410,13820
1073014412,13820
1073014413,13820
1075030100,46220
1075030200,46220
1077010100,22520
1077010200,22520
1077010300,22520
1077010400,22520
1077010600,22520
1077010700,22520
1077010800,22520
1077010900,22520
1077011000,22520
1077011101,22520
1077011102,22520
1077011200,22520
1077011300,22520
1077011400,22520
1077011501,22520
1077011502,22520
1077011602,22520
1077011603,22520
1077011604,22520
1077011700,22520
1077011700,26620
1077011801,22520
1077011801,26620
1077011802,22520
1077011802,26620
1079979100,19460
1079979200,19460
1079979200,22520
1079979300,19460
1079979300,22520
1079979400,18980
1079979400,19460
1079979500,19460
1079979600,18980
1079979600,19460
1079979700,18980
1079979700,19460
1079979800,18980
1079979800,19460
1079979900,19460
1079979900,22520
1081040200,12220
1081040300,10760
1081040300,12220
1081040400,10760
1081040400,12220
1081040500,10760
1081040500,12220
1081040500,17980
1081040500,46740
1081040602,12220
1081040603,10760
1081040603,12220
1081040604,10760
1081040604,12220
1081040700,10760
1081040700,12220
1081040800,12220
1081040901,10760
1081040901,12220
1081040901,46740
1081040902,12220
1081041000,10760
1081041000,12220
1081041000,46740
1081041100,12220
1081041100,46740
1081041200,12220
1081041200,46740
1081041300,12220
1081041300,46740
1081041400,12220
1081041400,46740
1081041600,12220
1081041600,46740
1081041700,12220
1081041700,17980
1081041700,46740
1081041800,12220
1081041800,17980
1081041800,46740
1081041900,12220
1081041900,17980
1081041900,46740
1081042002,12220
1081042002,17980
1081042003,12220
1081042003,17980
1081042004,12220
1081042004,17980
1081042005,12220
1081042005,17980
1081042006,12220
1081042006,17980
1081042101,10760
1081042101,12220
1081042101,17980
1081042101,46740
1081042102,12220
1081042102,17980
1083020101,26620
1083020102,26620
1083020201,22520
1083020201,26620
1083020202,22520
1083020202,26620
1083020300,22520
1083020300,26620
1083020401,22520
1083020401,26620
1083020402,22520
1083020402,26620
1083020500,26620
1083020600,22520
1083020600,26620
1083020700,22520
1083020700,26620
1083020801,26620
1083020802,26620
1083020900,26620
1083021000,26620
1083021100,26620
1083021200,26620
1085780800,33860
1085781000,33860
1085781000,42820
1085781100,33860
1085781100,42820
1085781200,33860
1085781200,42820
1087231400,10760
1087231400,12220
1087231400,17980
1087231400,46740
1087231500,10760
1087231500,12220
1087231500,33860
1087232200,33860
1087232300,17980
1089000201,26620
1089000202,26620
1089000301,26620
1089000302,26620
1089000403,26620
1089000501,26620
1089000502,26620
1089000503,26620
1089000601,26620
1089000602,26620
1089000701,26620
1089000702,26620
1089000901,26620
1089000902,26620
1089001000,26620
1089001200,26620
1089001301,26620
1089001302,26620
1089001401,26620
1089001402,26620
1089001500,26620
1089001700,26620
1089001801,26620
1089001901,26620
1089001902,26620
1089001903,26620
1089002000,26620
1089002100,26620
1089002200,26620
1089002300,26620
1089002400,26620
1089002501,26620
1089002502,26620
1089002600,26620
1089002701,26620
1089002721,26620
1089002722,26620
1089002801,26620
1089002802,26620
1089002911,26620
1089002912,26620
1089002921,26620
1089002922,26620
1089003000,26620
1089003100,26620
1089010100,26620
1089010100,42460
1089010200,26620
1089010200,42460
1089010301,26620
1089010302,26620
1089010401,26620
1089010402,26620
1089010501,26620
1089010502,26620
1089010612,26620
1089010621,26620
1089010622,26620
1089010623,26620
1089010624,26620
1089010701,26620
1089010702,26620
1089010800,26620
1089010901,26620
1089010901,42460
1089010902,10700
1089010902,26620
1089010902,42460
1089011011,26620
1089011012,26620
1089011013,26620
1089011014,26620
1089011021,26620
1089011022,26620
1089011100,26620
1089011200,26620
1089011300,10700
1089011300,26620
1089011300,42460
1089011400,10700
1089011400,26620
1089011400,42460
1091972900,46220
1091973000,46220
1091973100,42820
1091973100,46220
1093964500,13820
1093964700,13820
1095030100,10700
1095030100,13820
1095030100,18980
1095030100,22840
1095030100,42460
1095030201,10700
1095030201,13820
1095030201,18980
1095030201,26620
1095030201,42460
1095030202,10700
1095030202,13820
1095030202,18980
1095030202,26620
1095030202,42460
1095030300,10700
1095030300,13820
1095030300,18980
1095030300,19460
1095030401,10700
1095030401,13820
1095030401,18980
1095030401,19460
1095030402,10700
1095030402,13820
1095030402,18980
1095030402,19460
1095030500,10700
1095030500,13820
1095030500,18980
1095030500,19460
1095030600,10700
1095030600,13820
1095030600,18980
1095030701,10700
1095030701,13820
1095030701,18980
1095030701,22840
1095030702,10700
1095030702,13820
1095030702,18980
1095030702,22840
1095030801,10700
1095030801,22840
1095030802,10700
1095030802,13820
1095030802,22840
